Make,Model,Year,Vendor,MPN,AD Item Number,NI# ,OEM#,REF#,O.D,I.D,HEIGHT,Vendor Notes
POLARIS,FRONTIER CLASSIC,2004,NACH,AT-07063,KX09402,AT-07063,2540006,KN-196,66MM,,88MM,WITH O-RING
POLARIS,FRONTIER CLASSIC,2004,NACH,AT-07063,KX09402,AT-07063,2540086,KN-196,66MM,,88MM,WITH O-RING
POLARIS,FRONTIER CLASSIC,2003,NACH,AT-07063,KX09402,AT-07063,2540006,KN-196,66MM,,88MM,WITH O-RING
POLARIS,FRONTIER CLASSIC,2003,NACH,AT-07063,KX09402,AT-07063,2540086,KN-196,66MM,,88MM,WITH O-RING
POLARIS,INDY FRONTIER,2002,NACH,AT-07063,KX09402,AT-07063,2540006,KN-196,66MM,,88MM,WITH O-RING
POLARIS,INDY FRONTIER,2002,NACH,AT-07063,KX09402,AT-07063,2540086,KN-196,66MM,,88MM,WITH O-RING
POLARIS,600 SWITCHBACK ASSAULT AXYS,2021,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,800 INDY 129 XCR,2020,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,800 INDY ADVENTURE ,2020,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,800 RMK ASSAULT ,2016,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,800 RMK ASSAULT ,2019,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,800 RMK KHAOS ,2020,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,800 SKS ,2020,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,850 INDY ADVENTURE ,2020,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,850 RUSH XCR ,2019,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,PATRIOT 9R RMK KHAOS MATRYX 146/155/163/165 SLASH,2023,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
